	label	inflorescence	taille	forme 	couleur	motif	nombre_serie	longueur_filet	syndrome
Passiflora_tenuifila_DQ123374	Passiflora_tenuifila_DQ123374	0	0	0	0	1	0	0	0
Passiflora_tetrandra_AB536572	Passiflora_tetrandra_AB536572	?	0	0	0	0	0	1	3
Passiflora_tricuspis_DQ123327	Passiflora_tricuspis_DQ123327	0	0	0	0	0	0	1	3
Passiflora_trifasciata_DQ123328	Passiflora_trifasciata_DQ123328	?	0	0	0	0	0	1	3
Passiflora_trifoliata_DQ123383	Passiflora_trifoliata_DQ123383	?	0	1	2	0	0	0	2
Passiflora_trintae_DQ123375	Passiflora_trintae_DQ123375	0	1	0	2	1	0	0	0
Passiflora_tripartita_DQ123382	Passiflora_tripartita_DQ123382	0	1	1	2	0	0	0	2
Passiflora_trisecta_DQ123343	Passiflora_trisecta_DQ123343	?	1	0	0	0	0	0	3
Passiflora_truncata_HQ900891	Passiflora_truncata_HQ900891	0	0	0	0	1	0	1	0
Passiflora_tryphostemmatoides_DQ123388	Passiflora_tryphostemmatoides_DQ123388	1	0	0	0	1	0	0	0
Passiflora_tulae_HQ900892	Passiflora_tulae_HQ900892	0	1	1	2	0	0	0	2
Passiflora_umbilicata_DQ123387	Passiflora_umbilicata_DQ123387	?	0	1	1	1	0	0	0
Passiflora_urubiciensis_HQ900893	Passiflora_urubiciensis_HQ900893	0	?	0	1	1	0	0	0
Passiflora_vespertilio_DQ123329	Passiflora_vespertilio_DQ123329	0	0	0	0	0	0	0	3
Passiflora_villosa_DQ123341	Passiflora_villosa_DQ123341	0	0	0	0	1	0	1	0
Passiflora_vitifolia_HQ900895	Passiflora_vitifolia_HQ900895	0	1	1	2	0	0	0	2
Passiflora_watsoniana_HQ900896	Passiflora_watsoniana_HQ900896	0	1	0	1	1	0	1	0
Passiflora_wilsonii_KF181510	Passiflora_wilsonii_KF181510	1	0	0	0	1	0	1	0
Passiflora_xiikzodz_DQ123330	Passiflora_xiikzodz_DQ123330	0	0	0	0	1	1	1	0
Passiflora_yucatanensis_OL537036	Passiflora_yucatanensis_OL537036	0	0	0	0	1	0	0	0
Phyllanthus_niruri_GU441791	Phyllanthus_niruri_GU441791	1	0	0	2	0	NA	NA	0
Plagiopteron_suaveolens_FJ670182	Plagiopteron_suaveolens_FJ670182	1	0	0	0	0	NA	NA	0
Salix_alba_FN689366	Salix_alba_FN689366	1	0	NA	0	0	NA	NA	NA
Viola_tricolor_MN023109	Viola_tricolor_MN023109	0	0	0	1	1	NA	NA	0
